Approximation,Model,dataset,Accuracy,Time,Features
CES,linear,airquality,99.71230205,3.79156146,12
Cohort,linear,airquality,82.23044587,3.79156146,12
Exhaustive,linear,airquality,99.99128632,27131.25486,12
IME,linear,airquality,99.71761765,0.1134793412,12
KernelSHAP,linear,airquality,99.94403633,0.08345553225,12
Linear (correlated),linear,airquality,99.94403633,1.68E-05,12
Linear (independent),linear,airquality,97.05906972,7.10E-06,12
MLE,linear,airquality,99.82600514,0.1777613033,12
Non-parametric KernelSHAP,linear,airquality,99.99688514,0.153376,12
Parametric KernelSHAP,linear,airquality,99.99688514,0.153376,12
SGDShapley,linear,airquality,99.94403633,0.1119289225,12
CES,linear,apartments,96.06405129,0.01064149233,3
Cohort,linear,apartments,97.29097079,0.01064149233,3
Exhaustive,linear,apartments,96.09081221,0.2217328548,3
IME,linear,apartments,95.21576437,0.09898339785,3
KernelSHAP,linear,apartments,96.09081221,0.07063083465,3
Linear (correlated),linear,apartments,96.09081221,5.33E-05,3
Linear (independent),linear,apartments,96.09081221,3.87E-05,3
MLE,linear,apartments,96.23290187,0.1461419326,3
Non-parametric KernelSHAP,linear,apartments,96.09081246,0.005356,3
Parametric KernelSHAP,linear,apartments,96.09081211,0.009346,3
SGDShapley,linear,apartments,96.09081221,0.09634617659,3
CES,linear,asia_gdp,95.02934974,0.05532775606,10
Cohort,linear,asia_gdp,97.02583143,0.05532775606,10
Exhaustive,linear,asia_gdp,94.95467732,362.0499206,10
IME,linear,asia_gdp,94.69045179,0.1083586046,10
KernelSHAP,linear,asia_gdp,94.95467732,0.08247995377,10
Linear (correlated),linear,asia_gdp,94.95467732,0.0001034736633,10
Linear (independent),linear,asia_gdp,94.95467732,7.22E-05,10
MLE,linear,asia_gdp,95.03801256,0.1718932731,10
Non-parametric KernelSHAP,linear,asia_gdp,94.95467757,0.018771,10
Parametric KernelSHAP,linear,asia_gdp,94.95467717,0.018529,10
SGDShapley,linear,asia_gdp,94.95467732,0.1045162848,10
CES,linear,auto-mpg,99.7914152,0.4579477119,7
Cohort,linear,auto-mpg,98.8266733,0.4579477119,7
Exhaustive,linear,auto-mpg,99.36880689,37.97460079,7
IME,linear,auto-mpg,99.19665635,0.1032007969,7
KernelSHAP,linear,auto-mpg,99.36880689,0.07408803793,7
Linear (correlated),linear,auto-mpg,99.36880689,1.95E-05,7
Linear (independent),linear,auto-mpg,99.84292636,1.15E-05,7
MLE,linear,auto-mpg,99.25433739,0.1609941978,7
Non-parametric KernelSHAP,linear,auto-mpg,99.36880706,0.00788,7
Parametric KernelSHAP,linear,auto-mpg,99.36880706,0.007609,7
SGDShapley,linear,auto-mpg,99.36880689,0.1068207576,7
CES,linear,autompg,99.7931977,0.2362636089,7
Cohort,linear,autompg,98.82727268,0.2362636089,7
Exhaustive,linear,autompg,99.36880689,46.13597417,7
IME,linear,autompg,99.20007994,0.1038827731,7
KernelSHAP,linear,autompg,99.36880689,0.08123804056,7
Linear (correlated),linear,autompg,99.36880689,2.36E-05,7
Linear (independent),linear,autompg,99.84292636,1.26E-05,7
MLE,linear,autompg,99.19725684,0.1604136119,7
Non-parametric KernelSHAP,linear,autompg,99.36880706,0.00839,7
Parametric KernelSHAP,linear,autompg,99.36880706,0.008803,7
SGDShapley,linear,autompg,99.36880689,0.1036702486,7
CES,linear,bike,98.25538468,2.535929935,14
Cohort,linear,bike,98.25538468,2.535929935,14
Exhaustive,linear,bike,99.9895803,185157.0502,14
IME,linear,bike,99.29389537,0.1169137232,14
KernelSHAP,linear,bike,99.46172039,0.0773370042,14
Linear (correlated),linear,bike,99.46172039,1.56E-05,14
Linear (independent),linear,bike,99.99950587,8.67E-06,14
MLE,linear,bike,99.34589735,0.1854230491,14
Non-parametric KernelSHAP,linear,bike,98.68488247,0.1165299734,14
Parametric KernelSHAP,linear,bike,98.90633301,0.242937,14
SGDShapley,linear,bike,99.46172039,0.1095188488,14
CES,linear,bikedaily,99.38793877,0.6675223541,11
Cohort,linear,bikedaily,99.42692873,0.6675223541,11
Exhaustive,linear,bikedaily,99.96999496,3213.130295,11
IME,linear,bikedaily,99.76196085,0.111590545,11
KernelSHAP,linear,bikedaily,99.96999496,0.0776874822,11
Linear (correlated),linear,bikedaily,99.96999496,1.69E-05,11
Linear (independent),linear,bikedaily,99.53060154,9.06E-06,11
MLE,linear,bikedaily,99.86711836,0.1739948663,11
Non-parametric KernelSHAP,linear,bikedaily,99.96999496,0.047563,11
Parametric KernelSHAP,linear,bikedaily,99.96999495,0.062108,11
SGDShapley,linear,bikedaily,99.96999496,0.1057312223,11
CES,linear,bikehourly,97.53095973,3.966112568,12
Cohort,linear,bikehourly,99.74258142,3.966112568,12
Exhaustive,linear,bikehourly,99.89400362,11125.79785,12
IME,linear,bikehourly,99.16200558,0.1133599765,12
KernelSHAP,linear,bikehourly,99.40121064,0.07626525055,12
Linear (correlated),linear,bikehourly,99.40121064,1.60E-05,12
Linear (independent),linear,bikehourly,99.9186024,7.48E-06,12
MLE,linear,bikehourly,99.2807072,0.1791906191,12
Non-parametric KernelSHAP,linear,bikehourly,93.16285335,0.161646,12
Parametric KernelSHAP,linear,bikehourly,93.16285335,0.161646,12
SGDShapley,linear,bikehourly,99.40121064,0.108577893,12
CES,linear,blood,96.26119402,0.1537142634,4
Cohort,linear,blood,80.83221154,0.1537142634,4
Exhaustive,linear,blood,99.12669847,1.027111053,4
IME,linear,blood,99.00413224,0.07644680734,4
KernelSHAP,linear,blood,99.12669847,0.09423029471,4
Linear (correlated),linear,blood,79.83300482,1.57E-05,4
Linear (independent),linear,blood,95.93908637,9.14E-06,4
MLE,linear,blood,99.02858685,0.1250754918,4
Non-parametric KernelSHAP,linear,blood,99.12669851,0.007672,4
Parametric KernelSHAP,linear,blood,99.12669852,0.009867,4
SGDShapley,linear,blood,99.12669847,0.09801028904,4
CES,linear,bodyfat,98.88526324,0.7498777026,14
Cohort,linear,bodyfat,99.25886355,0.7498777026,14
Exhaustive,linear,bodyfat,98.88212492,13845.39836,14
IME,linear,bodyfat,98.6128066,0.1174088376,14
KernelSHAP,linear,bodyfat,98.88212492,0.08190573397,14
Linear (correlated),linear,bodyfat,98.88212492,2.39E-05,14
Linear (independent),linear,bodyfat,97.40289174,1.80E-05,14
MLE,linear,bodyfat,98.77583125,0.1870220275,14
Non-parametric KernelSHAP,linear,bodyfat,98.68488247,0.1165299734,14
Parametric KernelSHAP,linear,bodyfat,97.40289174,0.242937,14
SGDShapley,linear,bodyfat,98.88212492,0.1134189339,14
CES,linear,boston,98.35646523,2.149536126,13
Cohort,linear,boston,98.30278442,2.149536126,13
Exhaustive,linear,boston,97.58934498,1159.970582,13
IME,linear,boston,97.20809393,0.1152642873,13
KernelSHAP,linear,boston,97.58934498,0.08294603068,13
Linear (correlated),linear,boston,97.58934498,2.80E-05,13
Linear (independent),linear,boston,99.48248389,1.12E-05,13
MLE,linear,boston,97.49725264,0.1867155472,13
Non-parametric KernelSHAP,linear,boston,97.58934506,0.196888,13
Parametric KernelSHAP,linear,boston,97.58934506,0.196888,13
SGDShapley,linear,boston,97.58934498,0.1086745876,13
CES,linear,brainweight,98.66519117,0.04070981545,3
Cohort,linear,brainweight,99.93122335,0.04070981545,3
Exhaustive,linear,brainweight,98.67176779,0.1477282047,3
IME,linear,brainweight,98.60844543,0.07645410526,3
KernelSHAP,linear,brainweight,98.67176779,0.07405936869,3
Linear (correlated),linear,brainweight,98.67176779,2.11E-05,3
Linear (independent),linear,brainweight,99.31680626,1.72E-05,3
MLE,linear,brainweight,98.62691605,0.1178657707,3
Non-parametric KernelSHAP,linear,brainweight,98.67176784,0.005309,3
Parametric KernelSHAP,linear,brainweight,98.67176789,0.017371,3
SGDShapley,linear,brainweight,98.67176779,0.09901911096,3
CES,linear,californiahousing,99.30725704,1.682126744,8
Cohort,linear,californiahousing,99.92199292,1.682126744,8
Exhaustive,linear,californiahousing,99.99877963,284.8281517,8
IME,linear,californiahousing,99.71332065,0.1044371677,8
KernelSHAP,linear,californiahousing,99.87845902,0.1186035965,8
Linear (correlated),linear,californiahousing,99.87845902,1.62E-05,8
Linear (independent),linear,californiahousing,98.19254495,8.46E-06,8
MLE,linear,californiahousing,99.77450945,0.1636684049,8
Non-parametric KernelSHAP,linear,californiahousing,76.01280912,0.015541,8
Parametric KernelSHAP,linear,californiahousing,76.01280858,0.017681,8
SGDShapley,linear,californiahousing,99.87845902,0.1095859361,8
CES,linear,cancer,99.6956481,1.754466748,9
Cohort,linear,cancer,98.72773132,1.754466748,9
Exhaustive,linear,cancer,99.4018776,419.8737288,9
IME,linear,cancer,99.1168913,0.08801658491,9
KernelSHAP,linear,cancer,99.4018776,0.07482112192,9
Linear (correlated),linear,cancer,99.4018776,2.04E-05,9
Linear (independent),linear,cancer,98.25743668,9.61E-06,9
MLE,linear,cancer,99.33410303,0.1421913489,9
Non-parametric KernelSHAP,linear,cancer,99.40187779,0.01905,9
Parametric KernelSHAP,linear,cancer,99.40187768,0.034357,9
SGDShapley,linear,cancer,99.4018776,0.1074728164,9
CES,linear,casp,92.37527479,1.857214971,9
Cohort,linear,casp,92.37527479,1.857214971,9
Exhaustive,linear,casp,99.9934181,1903.724359,9
IME,linear,casp,99.26407296,0.1060990435,9
KernelSHAP,linear,casp,99.44008535,0.08198347525,9
Linear (correlated),linear,casp,99.44008535,1.59E-05,9
Linear (independent),linear,casp,99.14982393,7.86E-06,9
MLE,linear,casp,99.38579439,0.1697483821,9
Non-parametric KernelSHAP,linear,casp,99.89894267,0.021933,9
Parametric KernelSHAP,linear,casp,99.89894267,0.037735,9
SGDShapley,linear,casp,99.44008535,0.1038736278,9
CES,linear,challenger,50,0.004478275776,4
Cohort,linear,challenger,50,0.004478275776,4
Exhaustive,linear,challenger,50,1.412717819,4
IME,linear,challenger,50,0.08022719622,4
KernelSHAP,linear,challenger,50,0.079333812,4
Linear (correlated),linear,challenger,50,0.0001484155655,4
Linear (independent),linear,challenger,50,0.0001141428947,4
MLE,linear,challenger,50,0.1241592765,4
Non-parametric KernelSHAP,linear,challenger,50,0.004454,4
Parametric KernelSHAP,linear,challenger,50,0.025126,4
SGDShapley,linear,challenger,50,0.09744998813,4
CES,linear,chanceadmit,99.12935505,0.5239104152,7
Cohort,linear,chanceadmit,97.07258414,0.5239104152,7
Exhaustive,linear,chanceadmit,99.5250208,33.11942458,7
IME,linear,chanceadmit,99.26505645,0.1076504841,7
KernelSHAP,linear,chanceadmit,99.5250208,0.07759913712,7
Linear (correlated),linear,chanceadmit,99.5250208,1.79E-05,7
Linear (independent),linear,chanceadmit,99.09902015,1.24E-05,7
MLE,linear,chanceadmit,99.46154938,0.1605400967,7
Non-parametric KernelSHAP,linear,chanceadmit,99.52502095,0.008519,7
Parametric KernelSHAP,linear,chanceadmit,99.52502095,0.006903,7
SGDShapley,linear,chanceadmit,99.5250208,0.09901067344,7
CES,linear,chickweight,99.6798881,0.07825739622,3
Cohort,linear,chickweight,99.72968547,0.07825739622,3
Exhaustive,linear,chickweight,99.42674258,0.08111071587,3
IME,linear,chickweight,99.35266172,0.07649868321,3
KernelSHAP,linear,chickweight,99.42674258,0.07277892397,3
Linear (correlated),linear,chickweight,99.42674258,1.71E-05,3
Linear (independent),linear,chickweight,99.49908837,1.09E-05,3
MLE,linear,chickweight,99.32470801,0.1193813604,3
Non-parametric KernelSHAP,linear,chickweight,99.42674257,0.007219,3
Parametric KernelSHAP,linear,chickweight,99.4267426,0.011562,3
SGDShapley,linear,chickweight,99.42674258,0.09903542409,3
CES,linear,cms,97.29797678,1.68202934,8
Cohort,linear,cms,98.91249779,1.68202934,8
Exhaustive,linear,cms,99.48442203,203.2662868,8
IME,linear,cms,99.712913,0.1039151156,8
KernelSHAP,linear,cms,99.91037686,0.07799096613,8
Linear (correlated),linear,cms,99.91037686,1.71E-05,8
Linear (independent),linear,cms,99.86523804,8.65E-06,8
MLE,linear,cms,99.81057659,0.1670967124,8
Non-parametric KernelSHAP,linear,cms,99.86398106,0.014651,8
Parametric KernelSHAP,linear,cms,99.86398106,0.017275,8
SGDShapley,linear,cms,99.91037686,0.103681659,8
CES,linear,computer,98.90979346,0.1929076789,7
Cohort,linear,computer,97.22695462,0.1929076789,7
Exhaustive,linear,computer,98.90821807,26.34597182,7
IME,linear,computer,98.6520944,0.08271798189,7
KernelSHAP,linear,computer,98.90821807,0.08444404257,7
Linear (correlated),linear,computer,98.90821807,3.39E-05,7
Linear (independent),linear,computer,96.56145357,2.01E-05,7
MLE,linear,computer,98.79410046,0.1345616389,7
Non-parametric KernelSHAP,linear,computer,98.90821829,0.007606,7
Parametric KernelSHAP,linear,computer,98.90821823,0.007789,7
SGDShapley,linear,computer,98.90821807,0.1037014118,7
CES,linear,concrete,97.28401056,1.677779946,8
Cohort,linear,concrete,98.91235234,1.677779946,8
Exhaustive,linear,concrete,99.48442203,165.6758633,8
IME,linear,concrete,99.71456354,0.1054005117,8
KernelSHAP,linear,concrete,99.91037686,0.07428618272,8
Linear (correlated),linear,concrete,99.91037686,1.57E-05,8
Linear (independent),linear,concrete,99.86523804,8.45E-06,8
MLE,linear,concrete,99.81842117,0.1665665822,8
Non-parametric KernelSHAP,linear,concrete,99.86398106,0.01518,8
Parametric KernelSHAP,linear,concrete,99.86398106,0.017464,8
SGDShapley,linear,concrete,99.91037686,0.1040642406,8
CES,linear,const-maint,99.74175589,0.007071733475,4
Cohort,linear,const-maint,99.10262526,0.007071733475,4
Exhaustive,linear,const-maint,99.74769497,1.072444916,4
IME,linear,const-maint,99.7247137,0.1001270034,4
KernelSHAP,linear,const-maint,99.74769497,0.09324739196,4
Linear (correlated),linear,const-maint,99.74769497,0.0002233331854,4
Linear (independent),linear,const-maint,99.74769497,0.0001123818484,4
MLE,linear,const-maint,99.59563054,0.1515047984,4
Non-parametric KernelSHAP,linear,const-maint,99.74769504,0.006069,4
Parametric KernelSHAP,linear,const-maint,99.74769492,0.012585,4
SGDShapley,linear,const-maint,99.74769497,0.105644096,4
CES,linear,country-data,99.82173021,0.2773436308,9
Cohort,linear,country-data,99.66280748,0.2773436308,9
Exhaustive,linear,country-data,99.82472172,207.8308733,9
IME,linear,country-data,99.55156405,0.1072663111,9
KernelSHAP,linear,country-data,99.82472172,0.07973037873,9
Linear (correlated),linear,country-data,99.82472172,5.08E-05,9
Linear (independent),linear,country-data,99.99005482,2.44E-05,9
MLE,linear,country-data,99.70571527,0.1697838094,9
Non-parametric KernelSHAP,linear,country-data,99.82472179,0.013683,9
Parametric KernelSHAP,linear,country-data,99.82472165,0.014666,9
SGDShapley,linear,country-data,99.82472172,0.1044708363,9
CES,linear,crab,93.62710131,1.940625956,8
Cohort,linear,crab,98.25344357,1.940625956,8
Exhaustive,linear,crab,99.93992002,111.1268463,8
IME,linear,crab,99.40232126,0.1050264496,8
KernelSHAP,linear,crab,99.55831763,0.08535374728,8
Linear (correlated),linear,crab,99.55831763,4.67E-05,8
Linear (independent),linear,crab,99.99922833,1.07E-05,8
MLE,linear,crab,99.47702095,0.1656464129,8
Non-parametric KernelSHAP,linear,crab,98.92038251,0.015608,8
Parametric KernelSHAP,linear,crab,98.92038237,0.017822,8
SGDShapley,linear,crab,99.55831763,0.1017621055,8
CES,linear,cust,99.91137726,1.850837409,8
Cohort,linear,cust,99.99271328,1.850837409,8
Exhaustive,linear,cust,99.88433573,146.9007015,8
IME,linear,cust,99.65679823,0.1056767274,8
KernelSHAP,linear,cust,99.88433573,0.07597656776,8
Linear (correlated),linear,cust,99.88433573,1.75E-05,8
Linear (independent),linear,cust,99.74321033,9.43E-06,8
MLE,linear,cust,99.78089488,0.1657288304,8
Non-parametric KernelSHAP,linear,cust,99.88433573,0.014528,8
Parametric KernelSHAP,linear,cust,99.88433578,0.016059,8
SGDShapley,linear,cust,99.88433573,0.1027339531,8
CES,linear,diabetes,98.00631017,1.508340499,8
Cohort,linear,diabetes,99.98125945,1.508340499,8
Exhaustive,linear,diabetes,99.73237655,170.3484573,8
IME,linear,diabetes,99.45828204,0.1062671744,8
KernelSHAP,linear,diabetes,99.73237655,0.08028721622,8
Linear (correlated),linear,diabetes,99.73237655,1.71E-05,8
Linear (independent),linear,diabetes,99.79678501,8.84E-06,8
MLE,linear,diabetes,99.61218907,0.162536026,8
Non-parametric KernelSHAP,linear,diabetes,99.73237654,0.014228,8
Parametric KernelSHAP,linear,diabetes,99.73237646,0.01473,8
SGDShapley,linear,diabetes,99.73237655,0.1070637468,8
CES,linear,diamond,99.41938964,0.823694675,7
Cohort,linear,diamond,99.14254102,0.823694675,7
Exhaustive,linear,diamond,99.99952715,67.07364964,7
IME,linear,diamond,99.61555517,0.1032217662,7
KernelSHAP,linear,diamond,99.82254011,0.0768204848,7
Linear (correlated),linear,diamond,99.82254011,1.50E-05,7
Linear (independent),linear,diamond,99.99864284,8.54E-06,7
MLE,linear,diamond,99.74378658,0.1613979029,7
Non-parametric KernelSHAP,linear,diamond,99.86492757,0.012207,7
Parametric KernelSHAP,linear,diamond,99.86492757,0.012569,7
SGDShapley,linear,diamond,99.82254011,0.100786881,7
CES,linear,diamonds_filter,99.99965918,0.1558445811,4
Cohort,linear,diamonds_filter,96.92606876,0.1558445811,4
Exhaustive,linear,diamonds_filter,99.57277156,1.010355949,4
IME,linear,diamonds_filter,99.44030205,0.09635013402,4
KernelSHAP,linear,diamonds_filter,99.57277156,0.08150134544,4
Linear (correlated),linear,diamonds_filter,99.57277156,1.66E-05,4
Linear (independent),linear,diamonds_filter,99.9961459,1.01E-05,4
MLE,linear,diamonds_filter,99.44690321,0.1496273171,4
Non-parametric KernelSHAP,linear,diamonds_filter,99.57277158,0.006951,4
Parametric KernelSHAP,linear,diamonds_filter,99.57277152,0.014521,4
SGDShapley,linear,diamonds_filter,99.57277156,0.0988093145,4
CES,linear,diamonds_select,97.5333015,0.2510376167,4
Cohort,linear,diamonds_select,98.50237646,0.2510376167,4
Exhaustive,linear,diamonds_select,99.78048462,0.8696899414,4
IME,linear,diamonds_select,99.5437605,0.09718980211,4
KernelSHAP,linear,diamonds_select,99.78048462,0.07476992896,4
Linear (correlated),linear,diamonds_select,99.78048462,1.41E-05,4
Linear (independent),linear,diamonds_select,97.590545,7.65E-06,4
MLE,linear,diamonds_select,99.60754462,0.1497878364,4
Non-parametric KernelSHAP,linear,diamonds_select,99.78048462,0.008461,4
Parametric KernelSHAP,linear,diamonds_select,99.78048461,0.009103,4
SGDShapley,linear,diamonds_select,99.78048462,0.09934053277,4
CES,linear,economics,99.72269595,0.1627203178,4
Cohort,linear,economics,99.7278545,0.1627203178,4
Exhaustive,linear,economics,97.25655172,0.9418287277,4
IME,linear,economics,96.92296551,0.1016463744,4
KernelSHAP,linear,economics,97.25655172,0.07538794593,4
Linear (correlated),linear,economics,97.25655172,1.72E-05,4
Linear (independent),linear,economics,98.31849857,1.12E-05,4
MLE,linear,economics,96.99388726,0.1530258881,4
Non-parametric KernelSHAP,linear,economics,97.25655208,0.006708,4
Parametric KernelSHAP,linear,economics,97.25655216,0.00879,4
SGDShapley,linear,economics,97.25655172,0.1013186831,4
CES,linear,employee,97.42255446,1.868246627,9
Cohort,linear,employee,90.52924612,1.868246627,9
Exhaustive,linear,employee,99.86506868,579.6532116,9
IME,linear,employee,97.81306474,0.1068437215,9
KernelSHAP,linear,employee,97.97464455,0.07553654078,9
Linear (correlated),linear,employee,97.97464455,1.75E-05,9
Linear (independent),linear,employee,98.51838003,8.74E-06,9
MLE,linear,employee,97.89177044,0.1677672083,9
Non-parametric KernelSHAP,linear,employee,96.37629984,0.020062,9
Parametric KernelSHAP,linear,employee,96.37629962,0.025549,9
SGDShapley,linear,employee,97.97464455,0.1035310637,9
CES,linear,energy,50,2.024577029,9
Cohort,linear,energy,50,2.024577029,9
Exhaustive,linear,energy,99.90519275,478.3772521,9
IME,linear,energy,99.69143583,0.106030559,9
KernelSHAP,linear,energy,99.91189798,0.0819874082,9
Linear (correlated),linear,energy,99.9081315,1.61E-05,9
Linear (independent),linear,energy,99.99848913,9.50E-06,9
MLE,linear,energy,99.80237611,0.1671593762,9
Non-parametric KernelSHAP,linear,energy,50,0.019948,9
Parametric KernelSHAP,linear,energy,89.41100661,0.022386,9
SGDShapley,linear,energy,99.91619902,0.1049590646,9
CES,linear,energy_cool,50,1.843967626,8
Cohort,linear,energy_cool,50,1.843967626,8
Exhaustive,linear,energy_cool,99.88986762,78.57676125,8
IME,linear,energy_cool,98.17667753,0.1043941824,8
KernelSHAP,linear,energy_cool,99.84667096,0.07811205594,8
Linear (correlated),linear,energy_cool,96.23558391,1.82E-05,8
Linear (independent),linear,energy_cool,99.98910065,9.85E-06,8
MLE,linear,energy_cool,98.35412493,0.1687220194,8
Non-parametric KernelSHAP,linear,energy_cool,50,0.014546,8
Parametric KernelSHAP,linear,energy_cool,50,0.016694,8
SGDShapley,linear,energy_cool,99.77371234,0.1034505001,8
CES,linear,energy_heat,50,1.885600255,8
Cohort,linear,energy_heat,50,1.885600255,8
Exhaustive,linear,energy_heat,99.8383614,124.8130016,8
IME,linear,energy_heat,98.54179954,0.1062930222,8
KernelSHAP,linear,energy_heat,99.93050806,0.08559451986,8
Linear (correlated),linear,energy_heat,98.76379009,1.68E-05,8
Linear (independent),linear,energy_heat,99.97418993,9.39E-06,8
MLE,linear,energy_heat,98.64622856,0.163996994,8
Non-parametric KernelSHAP,linear,energy_heat,50,0.014444,8
Parametric KernelSHAP,linear,energy_heat,50,0.015161,8
SGDShapley,linear,energy_heat,99.9638009,0.1026360773,8
CES,linear,forest,99.95057541,1.166942294,12
Cohort,linear,forest,91.32569105,1.166942294,12
Exhaustive,linear,forest,99.98235385,7136.448629,12
IME,linear,forest,99.75649216,0.1130288275,12
KernelSHAP,linear,forest,99.98235385,0.07830340542,12
Linear (correlated),linear,forest,99.98235385,1.98E-05,12
Linear (independent),linear,forest,98.23494404,1.08E-05,12
MLE,linear,forest,99.86187256,0.177490562,12
Non-parametric KernelSHAP,linear,forest,99.98235385,0.107257,12
