Approximation,Model,dataset,Accuracy,Time,Features
IME,agnostic,auto-mpg,98.92074859,0.2193688631,7
Non-parametric KernelSHAP,agnostic,cancer,98.96207336,0.024,9
Parametric KernelSHAP,agnostic,cancer,98.96207433,0.020622,9
MLE,agnostic,crab,98.97267652,0.3862714406,8
IME,agnostic,autompg,98.98475895,0.2436575559,7
Exhaustive,agnostic,country-data,98.99831089,51.37403584,9
KernelSHAP,agnostic,country-data,98.99831089,0.07540223428,9
MLE,agnostic,auto-mpg,99.02036027,0.3204558299,7
Cohort,agnostic,const-maint,99.02671389,0.06238447536,4
CES,agnostic,const-maint,99.02671389,0.06238447536,4
Parametric KernelSHAP,agnostic,telescope,99.05337922,0.039423,10
Non-parametric KernelSHAP,agnostic,telescope,99.05337925,0.03629,10
IME,agnostic,forest,99.05691096,0.3207052786,12
MLE,agnostic,winequality-red,99.06177471,0.7038572774,11
MLE,agnostic,autompg,99.06802456,0.3158220254,7
Cohort,agnostic,californiahousing,99.07695884,6.136128637,8
CES,agnostic,californiahousing,99.07695884,6.136128637,8
IME,agnostic,boston,99.07833432,0.3307375237,13
IME,agnostic,chickweight,99.09226928,0.1923354371,3
MLE,agnostic,const-maint,99.10020995,0.1913137002,4
IME,agnostic,heartfailure,99.1039169,0.2516690481,12
Non-parametric KernelSHAP,agnostic,ozone,99.1039169,0.076255,12
Parametric KernelSHAP,agnostic,ozone,99.1039169,0.07396,12
Cohort,agnostic,linnerud,99.10476073,0.04380955015,5
CES,agnostic,linnerud,99.10476073,0.04380955015,5
SGDShapley,agnostic,cust,99.10824579,0.1631449847,8
Cohort,agnostic,adult,99.11259922,9.114465394,12
CES,agnostic,adult,99.11259922,9.114465394,12
Exhaustive,agnostic,autompg,99.11773553,52.97605562,7
Exhaustive,agnostic,auto-mpg,99.11773553,42.60018563,7
KernelSHAP,agnostic,auto-mpg,99.11773553,0.1058411873,7
KernelSHAP,agnostic,autompg,99.11773553,0.08242854155,7
CES,agnostic,slump,99.12099466,0.4485236687,7
Cohort,agnostic,slump,99.12099466,0.4485236687,7
IME,agnostic,servo,99.12307131,0.2265795708,12
Cohort,agnostic,auto-mpg,99.14245789,10.55801497,7
CES,agnostic,auto-mpg,99.14245789,10.55801497,7
CES,agnostic,autompg,99.15000703,10.52012001,7
Cohort,agnostic,autompg,99.15000703,10.52012001,7
IME,agnostic,crab,99.15623191,0.8276288126,8
Parametric KernelSHAP,agnostic,friedman,99.16371285,0.025309,9
Non-parametric KernelSHAP,agnostic,friedman,99.16371288,0.021469,9
SGDShapley,agnostic,heart_disease,99.16388723,0.1557641612,13
IME,agnostic,forestfire,99.16621178,0.3586309598,12
Cohort,agnostic,winequality-red,99.16746297,8.184328142,11
CES,agnostic,winequality-red,99.16746297,8.184328142,11
SGDShapley,agnostic,japanemg,99.17413573,0.1415984631,5
MLE,agnostic,apartments,99.17826561,0.3681683265,3
Cohort,agnostic,slump-flow,99.20363306,0.4826519419,7
IME,agnostic,friedman,99.20483797,0.824984091,9
SGDShapley,agnostic,rentals,99.22074396,0.3885921052,8
MLE,agnostic,cancer,99.22801072,0.4090138705,9
CES,agnostic,friedman,99.23382245,6.724173508,9
Cohort,agnostic,friedman,99.23382245,6.724173508,9
MLE,agnostic,chickweight,99.23471175,0.2856471464,3
CES,agnostic,petrol,99.24797085,0.1361144334,4
Cohort,agnostic,petrol,99.24797085,0.1361144334,4
MLE,agnostic,employee,99.24902818,0.3908775944,9
IME,agnostic,winequality-red,99.24957511,0.5608813741,11
KernelSHAP,agnostic,crab,99.26813508,0.2166026932,8
MLE,agnostic,ozone,99.26863092,0.4229469244,12
MLE,agnostic,blood,99.27183711,0.3681531174,4
IME,agnostic,cancer,99.27643065,0.2979321828,9
MLE,agnostic,glass,99.27729668,0.3815841138,9
MLE,agnostic,kiva,99.28364669,0.3680492777,6
Non-parametric KernelSHAP,agnostic,realestate,99.29234689,0.008117,7
Parametric KernelSHAP,agnostic,realestate,99.29234764,0.010071,7
Exhaustive,agnostic,boston,99.2944611,10002.85772,13
KernelSHAP,agnostic,boston,99.2944611,0.08916525213,13
Exhaustive,agnostic,heartfailure,99.29558672,1668.187881,12
KernelSHAP,agnostic,heartfailure,99.29558672,0.07765066503,12
MLE,agnostic,stockreturn,99.29630537,0.4050597548,12
IME,agnostic,bikehourly,99.29657903,1.137417012,12
MLE,agnostic,bikehourly,99.30693722,1.355314714,12
IME,agnostic,telescope,99.30920913,0.9377763488,10
SGDShapley,agnostic,mba,99.31317193,0.160448902,13
SGDShapley,agnostic,winequality,99.31355425,0.1854424383,11
IME,agnostic,realestate,99.31504055,0.2235773288,7
MLE,agnostic,heart_disease,99.31672843,0.4281339513,13
IME,agnostic,diamond,99.32089472,1.134246588,7
IME,agnostic,france,99.32582955,1.531441228,7
SGDShapley,agnostic,yatch,99.33258294,0.1566225547,6
KernelSHAP,agnostic,friedman,99.33940435,0.197010567,9
CES,agnostic,chickweight,99.34282089,11.76334617,3
Cohort,agnostic,chickweight,99.34282089,11.76334617,3
Exhaustive,agnostic,chickweight,99.34464458,1.813171148,3
KernelSHAP,agnostic,chickweight,99.34464458,0.111471462,3
MLE,agnostic,telescope,99.34625994,1.143253244,10
Exhaustive,agnostic,forest,99.35631327,4620.276252,12
KernelSHAP,agnostic,forest,99.35631327,0.1020687881,12
Cohort,agnostic,realestate,99.35759513,2.270537505,7
CES,agnostic,realestate,99.35759513,2.270537505,7
SGDShapley,agnostic,cancer,99.36096234,0.1603637976,9
Exhaustive,agnostic,forestfire,99.36816794,4208.940731,12
KernelSHAP,agnostic,forestfire,99.36816794,0.0866095727,12
IME,agnostic,prostate,99.37677554,0.1731802622,8
IME,agnostic,energy,99.39639345,0.3166397744,9
IME,agnostic,energy_cool,99.40269483,0.2940087741,8
IME,agnostic,3droad,99.40435645,0.3628097404,3
SGDShapley,agnostic,friedman,99.40624583,0.223006372,9
MLE,agnostic,adult,99.40979233,0.4226080504,12
Exhaustive,agnostic,servo,99.40985313,700.6378355,12
KernelSHAP,agnostic,servo,99.40985313,0.07571099455,12
IME,agnostic,yatch,99.41267272,0.1953048355,6
IME,agnostic,power,99.4362,174.9312365,4
Exhaustive,agnostic,winequality,99.43685581,14720.48715,11
SGDShapley,agnostic,france,99.43922949,0.3587190859,7
Cohort,agnostic,airquality,99.43952731,9.24248628,12
CES,agnostic,airquality,99.43952731,9.24248628,12
IME,agnostic,sacramento,99.43979633,0.2526134013,5
KernelSHAP,agnostic,bikehourly,99.43996391,0.2620361241,12
IME,agnostic,energy_heat,99.44247909,0.2929798008,8
MLE,agnostic,seeds,99.44417563,0.3836250443,6
KernelSHAP,agnostic,winequality-red,99.45344891,0.1639980208,11
Exhaustive,agnostic,pumpkinseed,99.45363576,93582.09947,12
Exhaustive,agnostic,cancer,99.45649072,621.6557143,9
KernelSHAP,agnostic,cancer,99.45649072,0.1152082977,9
IME,agnostic,blood,99.46040575,0.239435666,4
Non-parametric KernelSHAP,agnostic,const-maint,99.46040575,0.005189,4
Parametric KernelSHAP,agnostic,const-maint,99.46040575,0.004269,4
IME,agnostic,iris,99.46316829,0.1596975374,4
MLE,agnostic,3droad,99.46354017,0.5648854248,3
IME,agnostic,bikedaily,99.46457759,0.3574728788,11
KernelSHAP,agnostic,telescope,99.46795362,0.2566024556,10
Exhaustive,agnostic,telescope,99.47746061,26604.49543,10
Cohort,agnostic,stockrisk,99.48611432,1.669632689,12
CES,agnostic,stockrisk,99.48611432,1.669632689,12
IME,agnostic,casp,99.50509447,1.090801995,9
Exhaustive,agnostic,prostate,99.51084325,29.03359222,8
KernelSHAP,agnostic,prostate,99.51084325,0.09234674049,8
IME,agnostic,jewellery,99.51250685,0.1841921507,3
Cohort,agnostic,spending,99.5136495,0.6073024137,10
CES,agnostic,spending,99.5136495,0.6073024137,10
Cohort,agnostic,possumchest,99.51495467,0.6164151532,10
CES,agnostic,possumchest,99.51495467,0.6164151532,10
Exhaustive,agnostic,japanemg,99.5253268,0.4367411137,5
KernelSHAP,agnostic,japanemg,99.5253268,0.0867363294,5
SGDShapley,agnostic,diamonds_select,99.52673666,0.1558936134,4
MLE,agnostic,diamonds_select,99.53112651,0.3720809662,4
IME,agnostic,wholesale,99.53529155,0.2331662358,7
Exhaustive,agnostic,realestate,99.53756969,28.69033456,7
KernelSHAP,agnostic,realestate,99.53756969,0.08307379006,7
MLE,agnostic,sacramento,99.54041978,0.3718411009,5
MLE,agnostic,energy,99.54058865,0.4291370722,9
IME,agnostic,cms,99.5418573,0.3474337419,8
KernelSHAP,agnostic,diamond,99.55291112,0.3177322294,7
IME,agnostic,diamonds_select,99.5562916,0.2210448749,4
IME,agnostic,raotbl6,99.55924522,0.174394561,7
KernelSHAP,agnostic,3droad,99.56001866,0.2462739417,3
MLE,agnostic,wholesale,99.56115122,0.3851169576,7
IME,agnostic,concrete,99.56173483,0.3461482886,8
MLE,agnostic,cust,99.57025359,0.3812160119,8
MLE,agnostic,bikedaily,99.58095364,0.46836136,11
IME,agnostic,seoulbike,99.58462107,1.140343873,12
MLE,agnostic,computer,99.58594453,0.3903495402,7
IME,agnostic,diabetes,99.58774774,0.2962846033,8
Exhaustive,agnostic,insurance,99.58776259,190.6318846,6
KernelSHAP,agnostic,france,99.59676225,0.4243895827,7
SGDShapley,agnostic,kiva,99.59676892,0.3109162764,6
IME,agnostic,kiva,99.59785493,1.077023089,6
MLE,agnostic,chanceadmit,99.60383627,0.3780965661,7
MLE,agnostic,iris,99.60756415,0.3755097818,4
MLE,agnostic,slump-flow,99.60955948,0.385267426,7
Exhaustive,agnostic,energy_cool,99.61198568,239.9374104,8
KernelSHAP,agnostic,energy_cool,99.61198568,0.09792656035,8
Exhaustive,agnostic,energy,99.61656099,619.4662485,9
KernelSHAP,agnostic,energy,99.61656099,0.1313017231,9
IME,agnostic,slump-mpa,99.62582022,0.1689899318,7
IME,agnostic,germany,99.62710406,2.044165792,7
MLE,agnostic,possumchest,99.62952692,0.3989641394,10
MLE,agnostic,winequality,99.63185498,0.7096547806,11
CES,agnostic,blood,99.63384614,22.18414441,4
Cohort,agnostic,blood,99.63384614,22.18414441,4
Exhaustive,agnostic,yatch,99.6361385,6.521088123,6
KernelSHAP,agnostic,yatch,99.6361385,0.07810133579,6
IME,agnostic,heart_disease,99.63765532,0.2576791445,13
MLE,agnostic,slump-mpa,99.63803642,0.3784871452,7
Exhaustive,agnostic,energy_heat,99.6421672,238.8337326,8
KernelSHAP,agnostic,energy_heat,99.6421672,0.09807727187,8
IME,agnostic,raotbl7,99.64434602,0.1740314146,7
Non-parametric KernelSHAP,agnostic,airfoil,99.6448266,0.009132,5
Non-parametric KernelSHAP,agnostic,airfoil-self-noise,99.6448266,0.008959,5
Parametric KernelSHAP,agnostic,airfoil,99.64482719,0.008702,5
Parametric KernelSHAP,agnostic,airfoil-self-noise,99.64482719,0.00867,5
IME,agnostic,japanemg,99.64779627,0.1556911786,5
Exhaustive,agnostic,casp,99.64896746,10618.38776,9
CES,agnostic,country-data,99.65299481,1.204889242,9
Cohort,agnostic,country-data,99.65299481,1.204889242,9
IME,agnostic,slump-flow,99.65315378,0.1730600876,7
Exhaustive,agnostic,blood,99.65495854,3.494425774,4
KernelSHAP,agnostic,blood,99.65495854,0.09563426836,4
IME,agnostic,housing,99.65904012,0.3717741652,13
MLE,agnostic,cms,99.66374282,0.4615773533,8
Exhaustive,agnostic,precip,99.66777115,9083.37924,9
MLE,agnostic,seoulbike,99.6689921,1.354735872,12
SGDShapley,agnostic,energy_heat,99.67149303,0.1757699702,8
MLE,agnostic,spx,99.67199171,0.366129414,3
CES,agnostic,energy,99.67212066,5.479260713,9
Cohort,agnostic,energy,99.67212066,5.479260713,9
CES,agnostic,yatch,99.67219067,5.515925319,6
IME,agnostic,stockreturn,99.67243783,0.1877332697,12
IME,agnostic,cust,99.67777561,0.3134607734,8
MLE,agnostic,spending,99.67808036,0.4082037653,10
MLE,agnostic,concrete,99.67938562,0.4632111217,8
IME,agnostic,slump,99.68107867,0.1723233321,7
IME,agnostic,adult,99.68222835,1.120385966,12
IME,agnostic,income,99.6824825,1.227410584,13
SGDShapley,agnostic,raotbl6,99.68282597,0.1475165007,7
MLE,agnostic,diabetes,99.68306084,0.4055058656,8
Cohort,agnostic,bikehourly,99.68414189,9.309311164,12
CES,agnostic,bikehourly,99.68414189,9.309311164,12
MLE,agnostic,country-data,99.68760028,0.396409618,9
Exhaustive,agnostic,bikedaily,99.68775198,3404.601707,11
KernelSHAP,agnostic,bikedaily,99.68775198,0.1198193948,11
MLE,agnostic,californiahousing,99.6882301,0.3909748207,8
SGDShapley,agnostic,insurance,99.69212605,0.1735746861,6
KernelSHAP,agnostic,power,99.69322772,78.24446115,4
Cohort,agnostic,sacramento,99.6933871,42.48150714,5
CES,agnostic,sacramento,99.6933871,42.48150714,5
MLE,agnostic,petrol,99.69355481,0.3763704449,4
Exhaustive,agnostic,sacramento,99.69502381,16.60026312,5
KernelSHAP,agnostic,sacramento,99.69502381,0.1463067385,5
IME,agnostic,rentals,99.69726751,1.973264498,8
Exhaustive,agnostic,wholesale,99.69869688,31.43970323,7
KernelSHAP,agnostic,wholesale,99.69869688,0.08344049976,7
MLE,agnostic,prostate,99.70597645,0.3821017164,8
Exhaustive,agnostic,abalone,99.70609141,25542.49285,10
Cohort,agnostic,wholesale,99.70710097,2.384701432,7
CES,agnostic,wholesale,99.70710097,2.384701432,7
Cohort,agnostic,raotbl6,99.70727183,1.109483981,7
CES,agnostic,raotbl6,99.70727183,1.109483981,7
IME,agnostic,questions,99.70732218,0.1478453,3
SGDShapley,agnostic,concrete,99.71193444,0.1682204947,8
SGDShapley,agnostic,cms,99.71193444,0.1654639446,8
IME,agnostic,chanceadmit,99.71470622,0.167468481,7
MLE,agnostic,jewellery,99.71646816,0.3639248245,3
CES,agnostic,walmart,99.71729509,300.1371824,6
Cohort,agnostic,walmart,99.71729509,300.1371824,6
CES,agnostic,mba,99.71739708,4.543289699,13
Cohort,agnostic,mba,99.71739708,4.543289699,13
IME,agnostic,const-maint,99.71840481,0.1529077833,4
MLE,agnostic,airquality,99.72137517,0.8770735546,12
MLE,agnostic,htwtindex,99.72220921,0.3671029929,3
SGDShapley,agnostic,housing,99.72434312,0.1622991519,13
SGDShapley,agnostic,energy,99.72627893,0.1635163581,9
SGDShapley,agnostic,energy_cool,99.72785499,0.1578367761,8
IME,agnostic,precip,99.72852982,0.8074771599,9
Cohort,agnostic,jewellery,99.7301917,8.974011844,3
CES,agnostic,jewellery,99.7301917,8.974011844,3
Exhaustive,agnostic,jewellery,99.7303376,1.454095602,3
KernelSHAP,agnostic,jewellery,99.7303376,0.1037544219,3
IME,agnostic,telecom,99.73119667,0.432925587,11
IME,agnostic,airquality,99.74027522,0.7159648505,12
MLE,agnostic,housing,99.74037453,0.4411320529,13
Exhaustive,agnostic,heart_disease,99.74060952,3219.24188,13
KernelSHAP,agnostic,heart_disease,99.74060952,0.0957401673,13
KernelSHAP,agnostic,casp,99.74116623,0.2009769194,9
IME,agnostic,spx,99.74229428,0.2068891385,3
Cohort,agnostic,diamonds_select,99.74286959,34.16041244,4
CES,agnostic,diamonds_select,99.74286959,34.16041244,4
Exhaustive,agnostic,diamonds_select,99.74960887,12.78181839,4
KernelSHAP,agnostic,diamonds_select,99.74960887,0.1265717116,4
Exhaustive,agnostic,raotbl6,99.75208021,5.550896406,7
KernelSHAP,agnostic,raotbl6,99.75208021,0.0964059946,7
IME,agnostic,wine,99.75726146,1.069780475,12
KernelSHAP,agnostic,kiva,99.7573018,0.3470881614,6
KernelSHAP,agnostic,concrete,99.75921997,0.2126879345,8
KernelSHAP,agnostic,cms,99.75921997,0.1381424694,8
KernelSHAP,agnostic,seoulbike,99.76561335,0.303465042,12
SGDShapley,agnostic,airfoil-self-noise,99.76805979,0.1807290641,5
SGDShapley,agnostic,airfoil,99.76805979,0.1777219245,5
Non-parametric KernelSHAP,agnostic,asia_gdp,99.76858831,0.01705,10
Parametric KernelSHAP,agnostic,asia_gdp,99.76858841,0.017231,10
IME,agnostic,abalone,99.76981094,0.9082426945,10
IME,agnostic,ozone,99.77179728,0.2239210001,12
IME,agnostic,pumpkinseed,99.77187793,0.9099617113,12
MLE,agnostic,migration,99.77293625,0.3248877928,11
MLE,agnostic,airfoil-self-noise,99.77522252,0.369170988,5
SGDShapley,agnostic,questions,99.77600574,0.1351999774,3
MLE,agnostic,realestate,99.77609364,0.3678137682,7
IME,agnostic,winequality,99.77737133,0.6396135858,11
MLE,agnostic,rentals,99.77827791,2.416340256,8
Parametric KernelSHAP,agnostic,stockreturn,99.78037833,0.085284,12
Non-parametric KernelSHAP,agnostic,stockreturn,99.78037833,0.072752,12
IME,agnostic,computer,99.79244127,0.2101885098,7
CES,agnostic,kiva,99.79307086,341.8754837,6
Cohort,agnostic,kiva,99.79307086,341.8754837,6
MLE,agnostic,income,99.79388538,1.450185986,13
MLE,agnostic,precip,99.7942489,0.8851398685,9
IME,agnostic,insurance,99.79674631,0.3397147952,6
MLE,agnostic,telecom,99.79894297,0.5543411724,11
IME,agnostic,migration,99.79908858,0.2316045792,11
MLE,agnostic,questions,99.79978137,0.3516044198,3
SGDShapley,agnostic,wholesale,99.80257767,0.1528503193,7
IME,agnostic,airfoil,99.80267173,0.3138144406,5
MLE,agnostic,diamond,99.80272402,0.3731346015,7
IME,agnostic,californiahousing,99.80472057,3.567549799,8
MLE,agnostic,wine,99.80844657,0.413477777,12
Cohort,agnostic,diamond,99.81179939,5.238638452,7
CES,agnostic,diamond,99.81179939,5.238638452,7
IME,agnostic,airfoil-self-noise,99.81940601,0.3167089513,5
SGDShapley,agnostic,ozone,99.83163545,0.1530651584,12
IME,agnostic,wage,99.83291343,0.8071241379,8
CES,agnostic,questions,99.83347457,0.897767801,3
Cohort,agnostic,questions,99.83347457,0.897767801,3
CES,agnostic,diabetes,99.83473616,4.826967833,8
Cohort,agnostic,diabetes,99.83473616,4.826967833,8
Exhaustive,agnostic,diabetes,99.83643386,460.7456112,8
KernelSHAP,agnostic,diabetes,99.83643386,0.1161074122,8
Exhaustive,agnostic,slump-mpa,99.83747756,16.44379926,7
KernelSHAP,agnostic,slump-mpa,99.83747756,0.09344470501,7
KernelSHAP,agnostic,germany,99.83878394,0.4659011378,7
SGDShapley,agnostic,raotbl7,99.83905771,0.1440794817,7
SGDShapley,agnostic,powerlifting,99.84300287,0.6055776069,6
Cohort,agnostic,glass,99.84666802,0.5217672234,9
CES,agnostic,glass,99.84666802,0.5217672234,9
Exhaustive,agnostic,stockreturn,99.85503998,1052.716012,12
KernelSHAP,agnostic,stockreturn,99.85503998,0.08796079342,12
Exhaustive,agnostic,housing,99.85662469,9593.26056,13
KernelSHAP,agnostic,housing,99.85662469,0.08751633638,13
MLE,agnostic,energy_heat,99.86080352,0.396110209,8
MLE,agnostic,wage,99.86205136,0.3932002877,8
SGDShapley,agnostic,spx,99.86426856,0.1610246422,3
Cohort,agnostic,forestfire,99.86886231,4.837329425,12
CES,agnostic,forestfire,99.86886231,4.837329425,12
Exhaustive,agnostic,cust,99.87047198,562.4782276,8
KernelSHAP,agnostic,cust,99.87047198,0.1010434992,8
CES,agnostic,wine,99.87126957,9.287044365,12
Cohort,agnostic,wine,99.87126957,9.287044365,12
CES,agnostic,winequality,99.87197375,8.484760122,11
Cohort,agnostic,winequality,99.87197375,8.484760122,11
MLE,agnostic,energy_cool,99.87228406,0.3842076082,8
Exhaustive,agnostic,raotbl7,99.87507427,11.13356924,7
KernelSHAP,agnostic,raotbl7,99.87507427,0.0734110053,7
MLE,agnostic,pumpkinseed,99.88004616,1.089150901,12
Exhaustive,agnostic,iris,99.88059872,0.2483444214,4
KernelSHAP,agnostic,iris,99.88059872,0.07321610928,4
MLE,agnostic,insurance,99.88087028,0.4682273894,6
KernelSHAP,agnostic,income,99.88110367,0.4984548179,13
KernelSHAP,agnostic,adult,99.88116825,0.2599776701,12
Exhaustive,agnostic,wage,99.88500767,7189.769356,8
Cohort,agnostic,admission,99.88553153,2.202542519,7
MLE,agnostic,raotbl6,99.88811684,0.389163058,7
Exhaustive,agnostic,powerlifting,99.89021252,29203.8163,6
Cohort,agnostic,telecom,99.89211402,8.357201985,11
CES,agnostic,telecom,99.89211402,8.357201985,11
MLE,agnostic,abalone,99.89230995,1.103290552,10
Cohort,agnostic,slump-mpa,99.89423849,0.7644935776,7
CES,agnostic,slump-mpa,99.89423849,0.7644935776,7
Non-parametric KernelSHAP,agnostic,powerlifting,99.89467931,0.009632,6
Parametric KernelSHAP,agnostic,powerlifting,99.89467933,0.008766,6
Cohort,agnostic,poker,99.8980368,7.396674803,10
CES,agnostic,poker,99.8980368,7.396674803,10
SGDShapley,agnostic,germany,99.89884764,0.3816418583,7
KernelSHAP,agnostic,rentals,99.89910763,0.5888081659,8
SGDShapley,agnostic,boston,99.89926952,0.1685708854,13
KernelSHAP,agnostic,precip,99.90260517,0.1759708238,9
SGDShapley,agnostic,wine,99.90284641,0.2298574375,12
Exhaustive,agnostic,slump,99.9029475,4.685025454,7
KernelSHAP,agnostic,slump,99.9029475,0.07327579751,7
Cohort,agnostic,cancer,99.90436132,5.00041035,9
CES,agnostic,cancer,99.90436132,5.00041035,9
MLE,agnostic,airfoil,99.90743911,0.442648116,5
Exhaustive,agnostic,wine,99.90831106,144727.6963,12
CES,agnostic,rentals,99.90970364,6.047631516,8
Cohort,agnostic,rentals,99.90970364,6.047631516,8
Cohort,agnostic,heart_disease,99.91510957,2.792890562,13
CES,agnostic,heart_disease,99.91510957,2.792890562,13
CES,agnostic,forest,99.91676379,4.873423132,12
Cohort,agnostic,forest,99.91676379,4.873423132,12
Exhaustive,agnostic,slump-flow,99.91948044,11.44378328,7
KernelSHAP,agnostic,slump-flow,99.91948044,0.08711145906,7
Exhaustive,agnostic,questions,99.92447809,0.9075980186,3
KernelSHAP,agnostic,questions,99.92447809,0.08999158108,3
CES,agnostic,slump-flow,99.92471447,0.7686309253,7
Exhaustive,agnostic,telecom,99.9250514,6472.892293,11
KernelSHAP,agnostic,telecom,99.9250514,0.1334962086,11
Non-parametric KernelSHAP,agnostic,iris,99.92606851,0.00536,4
Parametric KernelSHAP,agnostic,iris,99.92606857,0.004686,4
Exhaustive,agnostic,const-maint,99.92734662,0.1272478104,4
KernelSHAP,agnostic,const-maint,99.92734662,0.07010416551,4
CES,agnostic,pumpkinseed,99.92836617,9.570840492,12
Cohort,agnostic,pumpkinseed,99.92836617,9.570840492,12
Cohort,agnostic,computer,99.92929555,1.222978865,7
CES,agnostic,computer,99.92929555,1.222978865,7
KernelSHAP,agnostic,airquality,99.92939862,0.1988696503,12
Exhaustive,agnostic,bikehourly,99.93288553,156772.3744,12
IME,agnostic,asia_gdp,99.9345941,0.1716204371,10
SGDShapley,agnostic,pumpkinseed,99.93557237,0.2121139628,12
SGDShapley,agnostic,chickweight,99.93820909,0.1513044472,3
Exhaustive,agnostic,computer,99.93843671,20.56032038,7
KernelSHAP,agnostic,computer,99.93843671,0.07583688999,7
Cohort,agnostic,cms,99.93999115,6.086574677,8
CES,agnostic,cms,99.93999115,6.086574677,8
CES,agnostic,concrete,99.94000196,6.062549226,8
Cohort,agnostic,concrete,99.94000196,6.062549226,8
Exhaustive,agnostic,kiva,99.9433216,2498.436117,6
Exhaustive,agnostic,power,99.94362,1727.671873,4
Exhaustive,agnostic,crab,99.94801938,5577.959091,8
Cohort,agnostic,bikedaily,99.94845348,6.10433176,11
CES,agnostic,bikedaily,99.94845348,6.10433176,11
Exhaustive,agnostic,winequality-white,99.95050966,59924.28114,11
Exhaustive,agnostic,seoulbike,99.95124397,154552.0449,12
Exhaustive,agnostic,walmart,99.95143244,2092.079495,6
Non-parametric KernelSHAP,agnostic,possumbelly,99.95845506,0.018717,10
Parametric KernelSHAP,agnostic,possumbelly,99.9584551,0.018691,10
SGDShapley,agnostic,autompg,99.95907248,0.1531887678,7
SGDShapley,agnostic,auto-mpg,99.95907248,0.1518350528,7
Cohort,agnostic,spx,99.95981085,26.77209896,3
CES,agnostic,spx,99.95981085,26.77209896,3
Exhaustive,agnostic,spx,99.96026403,4.229765654,3
KernelSHAP,agnostic,spx,99.96026403,0.1374100789,3
Exhaustive,agnostic,chanceadmit,99.96081788,9.565268993,7
KernelSHAP,agnostic,chanceadmit,99.96081788,0.09165902752,7
CES,agnostic,chanceadmit,99.96125724,2.528634442,7
SGDShapley,agnostic,slump,99.96219201,0.1440415593,7
SGDShapley,agnostic,chanceadmit,99.96530474,0.1439374306,7
Exhaustive,agnostic,airquality,99.96577742,110776.9868,12
Exhaustive,agnostic,germany,99.96757523,12878.44107,7
SGDShapley,agnostic,slump-flow,99.96764827,0.1501217379,7
Exhaustive,agnostic,ozone,99.9736624,943.6302023,12
KernelSHAP,agnostic,ozone,99.9736624,0.07687447676,12
Cohort,agnostic,chanceadmit,99.97529495,1.685932147,7
Parametric KernelSHAP,agnostic,telecom,99.98097411,0.080027,11
Non-parametric KernelSHAP,agnostic,telecom,99.98097434,0.05467,11
Exhaustive,agnostic,airfoil-self-noise,99.98188165,77.93238044,5
Exhaustive,agnostic,airfoil,99.98188165,75.35091639,5
KernelSHAP,agnostic,pumpkinseed,99.9827585,0.2177204883,12
Exhaustive,agnostic,asia_gdp,99.98332608,56.4803791,10
KernelSHAP,agnostic,asia_gdp,99.98332608,0.07208819049,10
KernelSHAP,agnostic,californiahousing,99.98357803,1.106982724,8
KernelSHAP,agnostic,insurance,99.98619127,0.1498054042,6
Exhaustive,agnostic,friedman,99.986198,10304.72688,9
Cohort,agnostic,insurance,99.98726659,66.719075,6
CES,agnostic,insurance,99.98726659,66.719075,6
Exhaustive,agnostic,diamond,99.98853305,5404.944514,7
CES,agnostic,stockreturn,99.98855309,1.889029276,12
Cohort,agnostic,stockreturn,99.98855309,1.889029276,12
Exhaustive,agnostic,poker,99.98905875,26004.55296,10
Exhaustive,agnostic,concrete,99.98977023,420.0980568,8
Exhaustive,agnostic,cms,99.98977023,410.6637135,8
Exhaustive,agnostic,france,99.99309986,18178.01859,7
CES,agnostic,telescope,99.9941321,7.573556105,10
Cohort,agnostic,telescope,99.9941321,7.573556105,10
Exhaustive,agnostic,3droad,99.99571939,17.83948231,3
Exhaustive,agnostic,rentals,99.99591548,51705.38714,8
CES,agnostic,energy_heat,99.99646998,4.917195789,8
Cohort,agnostic,energy_heat,99.99646998,4.917195789,8
Exhaustive,agnostic,employee,99.99661606,7193.874066,9
CES,agnostic,airfoil,99.99699669,71.70130533,5
Cohort,agnostic,airfoil,99.99699669,71.70130533,5
CES,agnostic,powerlifting,99.99703711,4.433329694,6
Cohort,agnostic,powerlifting,99.99703711,4.433329694,6
KernelSHAP,agnostic,abalone,99.99708369,0.2443399617,10
CES,agnostic,airfoil-self-noise,99.99710873,68.99779035,5
Cohort,agnostic,airfoil-self-noise,99.99710873,68.99779035,5
KernelSHAP,agnostic,airfoil-self-noise,99.99726666,0.1609123259,5
KernelSHAP,agnostic,airfoil,99.99726666,0.1582773317,5
KernelSHAP,agnostic,wine,99.99730881,0.2501303319,12
SGDShapley,agnostic,precip,99.99820213,0.2111200347,9
CES,agnostic,wage,99.9988892,6.081456814,8
Cohort,agnostic,wage,99.9988892,6.081456814,8
KernelSHAP,agnostic,winequality,99.9991244,0.1323470997,11
CES,agnostic,energy_cool,99.99920621,4.855265974,8
Cohort,agnostic,energy_cool,99.99920621,4.855265974,8
Exhaustive,agnostic,californiahousing,99.99946372,157956.0191,8
Exhaustive,agnostic,income,99.99958864,358636.4671,13
Exhaustive,agnostic,adult,99.99958927,153236.7634,12
SGDShapley,agnostic,slump-mpa,99.99998737,0.1437394619,7
Exhaustive,agnostic,migration,99.99998946,489.5670915,11
