,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of admit
88,314.0,108.0,3.0,4.5,3.5,8.14,0.0,0.64
89,316.0,109.0,4.0,4.5,3.5,8.76,1.0,0.74
90,318.0,106.0,2.0,4.0,4.0,7.92,1.0,0.64
91,299.0,97.0,3.0,5.0,3.5,7.66,0.0,0.38
92,298.0,98.0,2.0,4.0,3.0,8.03,0.0,0.34
93,301.0,97.0,2.0,3.0,3.0,7.88,1.0,0.44
94,303.0,99.0,3.0,2.0,2.5,7.66,0.0,0.36
95,304.0,100.0,4.0,1.5,2.5,7.84,0.0,0.42
96,306.0,100.0,2.0,3.0,3.0,8.0,0.0,0.48
97,331.0,120.0,3.0,4.0,4.0,8.96,1.0,0.86
98,332.0,119.0,4.0,5.0,4.5,9.24,1.0,0.9
99,323.0,113.0,3.0,4.0,4.0,8.88,1.0,0.79
100,322.0,107.0,3.0,3.5,3.5,8.46,1.0,0.71
101,312.0,105.0,2.0,2.5,3.0,8.12,0.0,0.64
102,314.0,106.0,2.0,4.0,3.5,8.25,0.0,0.62
103,317.0,104.0,2.0,4.5,4.0,8.47,0.0,0.57
104,326.0,112.0,3.0,3.5,3.0,9.05,1.0,0.74
105,316.0,110.0,3.0,4.0,4.5,8.78,1.0,0.69
106,329.0,111.0,4.0,4.5,4.5,9.18,1.0,0.87
107,338.0,117.0,4.0,3.5,4.5,9.46,1.0,0.91
108,331.0,116.0,5.0,5.0,5.0,9.38,1.0,0.93
109,304.0,103.0,5.0,5.0,4.0,8.64,0.0,0.68
110,305.0,108.0,5.0,3.0,3.0,8.48,0.0,0.61
111,321.0,109.0,4.0,4.0,4.0,8.68,1.0,0.69
112,301.0,107.0,3.0,3.5,3.5,8.34,1.0,0.62
113,320.0,110.0,2.0,4.0,3.5,8.56,0.0,0.72
114,311.0,105.0,3.0,3.5,3.0,8.45,1.0,0.59
115,310.0,106.0,4.0,4.5,4.5,9.04,1.0,0.66
116,299.0,102.0,3.0,4.0,3.5,8.62,0.0,0.56
117,290.0,104.0,4.0,2.0,2.5,7.46,0.0,0.45
118,296.0,99.0,2.0,3.0,3.5,7.28,0.0,0.47
119,327.0,104.0,5.0,3.0,3.5,8.84,1.0,0.71
120,335.0,117.0,5.0,5.0,5.0,9.56,1.0,0.94
121,334.0,119.0,5.0,4.5,4.5,9.48,1.0,0.94
122,310.0,106.0,4.0,1.5,2.5,8.36,0.0,0.57
123,308.0,108.0,3.0,3.5,3.5,8.22,0.0,0.61
124,301.0,106.0,4.0,2.5,3.0,8.47,0.0,0.57
125,300.0,100.0,3.0,2.0,3.0,8.66,1.0,0.64
126,323.0,113.0,3.0,4.0,3.0,9.32,1.0,0.85
127,319.0,112.0,3.0,2.5,2.0,8.71,1.0,0.78
128,326.0,112.0,3.0,3.5,3.0,9.1,1.0,0.84
129,333.0,118.0,5.0,5.0,5.0,9.35,1.0,0.92
130,339.0,114.0,5.0,4.0,4.5,9.76,1.0,0.96
131,303.0,105.0,5.0,5.0,4.5,8.65,0.0,0.77
132,309.0,105.0,5.0,3.5,3.5,8.56,0.0,0.71
133,323.0,112.0,5.0,4.0,4.5,8.78,0.0,0.79
134,333.0,113.0,5.0,4.0,4.0,9.28,1.0,0.89
135,314.0,109.0,4.0,3.5,4.0,8.77,1.0,0.82
136,312.0,103.0,3.0,5.0,4.0,8.45,0.0,0.76
137,316.0,100.0,2.0,1.5,3.0,8.16,1.0,0.71
138,326.0,116.0,2.0,4.5,3.0,9.08,1.0,0.8
139,318.0,109.0,1.0,3.5,3.5,9.12,0.0,0.78
140,329.0,110.0,2.0,4.0,3.0,9.15,1.0,0.84
141,332.0,118.0,2.0,4.5,3.5,9.36,1.0,0.9
142,331.0,115.0,5.0,4.0,3.5,9.44,1.0,0.92
143,340.0,120.0,4.0,4.5,4.0,9.92,1.0,0.97
144,325.0,112.0,2.0,3.0,3.5,8.96,1.0,0.8
145,320.0,113.0,2.0,2.0,2.5,8.64,1.0,0.81
146,315.0,105.0,3.0,2.0,2.5,8.48,0.0,0.75
147,326.0,114.0,3.0,3.0,3.0,9.11,1.0,0.83
148,339.0,116.0,4.0,4.0,3.5,9.8,1.0,0.96
149,311.0,106.0,2.0,3.5,3.0,8.26,1.0,0.79
150,334.0,114.0,4.0,4.0,4.0,9.43,1.0,0.93
151,332.0,116.0,5.0,5.0,5.0,9.28,1.0,0.94
152,321.0,112.0,5.0,5.0,5.0,9.06,1.0,0.86
153,324.0,105.0,3.0,3.0,4.0,8.75,0.0,0.79
154,326.0,108.0,3.0,3.0,3.5,8.89,0.0,0.8
155,312.0,109.0,3.0,3.0,3.0,8.69,0.0,0.77
156,315.0,105.0,3.0,2.0,2.5,8.34,0.0,0.7
157,309.0,104.0,2.0,2.0,2.5,8.26,0.0,0.65
158,306.0,106.0,2.0,2.0,2.5,8.14,0.0,0.61
159,297.0,100.0,1.0,1.5,2.0,7.9,0.0,0.52
160,315.0,103.0,1.0,1.5,2.0,7.86,0.0,0.57
161,298.0,99.0,1.0,1.5,3.0,7.46,0.0,0.53
162,318.0,109.0,3.0,3.0,3.0,8.5,0.0,0.67
163,317.0,105.0,3.0,3.5,3.0,8.56,0.0,0.68
164,329.0,111.0,4.0,4.5,4.0,9.01,1.0,0.81
165,322.0,110.0,5.0,4.5,4.0,8.97,0.0,0.78
166,302.0,102.0,3.0,3.5,5.0,8.33,0.0,0.65
167,313.0,102.0,3.0,2.0,3.0,8.27,0.0,0.64
168,293.0,97.0,2.0,2.0,4.0,7.8,1.0,0.64
169,311.0,99.0,2.0,2.5,3.0,7.98,0.0,0.65
170,312.0,101.0,2.0,2.5,3.5,8.04,1.0,0.68
171,334.0,117.0,5.0,4.0,4.5,9.07,1.0,0.89
172,322.0,110.0,4.0,4.0,5.0,9.13,1.0,0.86
173,323.0,113.0,4.0,4.0,4.5,9.23,1.0,0.89
174,321.0,111.0,4.0,4.0,4.0,8.97,1.0,0.87
175,320.0,111.0,4.0,4.5,3.5,8.87,1.0,0.85
176,329.0,119.0,4.0,4.5,4.5,9.16,1.0,0.9
177,319.0,110.0,3.0,3.5,3.5,9.04,0.0,0.82
178,309.0,108.0,3.0,2.5,3.0,8.12,0.0,0.72
179,307.0,102.0,3.0,3.0,3.0,8.27,0.0,0.73
180,300.0,104.0,3.0,3.5,3.0,8.16,0.0,0.71
181,305.0,107.0,2.0,2.5,2.5,8.42,0.0,0.71
182,299.0,100.0,2.0,3.0,3.5,7.88,0.0,0.68
183,314.0,110.0,3.0,4.0,4.0,8.8,0.0,0.75
184,316.0,106.0,2.0,2.5,4.0,8.32,0.0,0.72
185,327.0,113.0,4.0,4.5,4.5,9.11,1.0,0.89
186,317.0,107.0,3.0,3.5,3.0,8.68,1.0,0.84
187,335.0,118.0,5.0,4.5,3.5,9.44,1.0,0.93
188,331.0,115.0,5.0,4.5,3.5,9.36,1.0,0.93
189,324.0,112.0,5.0,5.0,5.0,9.08,1.0,0.88
190,324.0,111.0,5.0,4.5,4.0,9.16,1.0,0.9
191,323.0,110.0,5.0,4.0,5.0,8.98,1.0,0.87
192,322.0,114.0,5.0,4.5,4.0,8.94,1.0,0.86
193,336.0,118.0,5.0,4.5,5.0,9.53,1.0,0.94
194,316.0,109.0,3.0,3.5,3.0,8.76,0.0,0.77
195,307.0,107.0,2.0,3.0,3.5,8.52,1.0,0.78
196,306.0,105.0,2.0,3.0,2.5,8.26,0.0,0.73
197,310.0,106.0,2.0,3.5,2.5,8.33,0.0,0.73
198,311.0,104.0,3.0,4.5,4.5,8.43,0.0,0.7
199,313.0,107.0,3.0,4.0,4.5,8.69,0.0,0.72
200,317.0,103.0,3.0,2.5,3.0,8.54,1.0,0.73
201,315.0,110.0,2.0,3.5,3.0,8.46,1.0,0.72
202,340.0,120.0,5.0,4.5,4.5,9.91,1.0,0.97
203,334.0,120.0,5.0,4.0,5.0,9.87,1.0,0.97
204,298.0,105.0,3.0,3.5,4.0,8.54,0.0,0.69
205,295.0,99.0,2.0,2.5,3.0,7.65,0.0,0.57
206,315.0,99.0,2.0,3.5,3.0,7.89,0.0,0.63
207,310.0,102.0,3.0,3.5,4.0,8.02,1.0,0.66
208,305.0,106.0,2.0,3.0,3.0,8.16,0.0,0.64
209,301.0,104.0,3.0,3.5,4.0,8.12,1.0,0.68
210,325.0,108.0,4.0,4.5,4.0,9.06,1.0,0.79
211,328.0,110.0,4.0,5.0,4.0,9.14,1.0,0.82
212,338.0,120.0,4.0,5.0,5.0,9.66,1.0,0.95
213,333.0,119.0,5.0,5.0,4.5,9.78,1.0,0.96
214,331.0,117.0,4.0,4.5,5.0,9.42,1.0,0.94
215,330.0,116.0,5.0,5.0,4.5,9.36,1.0,0.93
216,322.0,112.0,4.0,4.5,4.5,9.26,1.0,0.91
217,321.0,109.0,4.0,4.0,4.0,9.13,1.0,0.85
218,324.0,110.0,4.0,3.0,3.5,8.97,1.0,0.84
219,312.0,104.0,3.0,3.5,3.5,8.42,0.0,0.74
220,313.0,103.0,3.0,4.0,4.0,8.75,0.0,0.76
221,316.0,110.0,3.0,3.5,4.0,8.56,0.0,0.75
222,324.0,113.0,4.0,4.5,4.0,8.79,0.0,0.76
223,308.0,109.0,2.0,3.0,4.0,8.45,0.0,0.71
224,305.0,105.0,2.0,3.0,2.0,8.23,0.0,0.67
225,296.0,99.0,2.0,2.5,2.5,8.03,0.0,0.61
226,306.0,110.0,2.0,3.5,4.0,8.45,0.0,0.63
227,312.0,110.0,2.0,3.5,3.0,8.53,0.0,0.64
228,318.0,112.0,3.0,4.0,3.5,8.67,0.0,0.71
229,324.0,111.0,4.0,3.0,3.0,9.01,1.0,0.82
230,313.0,104.0,3.0,4.0,4.5,8.65,0.0,0.73
231,319.0,106.0,3.0,3.5,2.5,8.33,1.0,0.74
232,312.0,107.0,2.0,2.5,3.5,8.27,0.0,0.69
233,304.0,100.0,2.0,2.5,3.5,8.07,0.0,0.64
234,330.0,113.0,5.0,5.0,4.0,9.31,1.0,0.91
235,326.0,111.0,5.0,4.5,4.0,9.23,1.0,0.88
236,325.0,112.0,4.0,4.0,4.5,9.17,1.0,0.85
237,329.0,114.0,5.0,4.5,5.0,9.19,1.0,0.86
238,310.0,104.0,3.0,2.0,3.5,8.37,0.0,0.7
239,299.0,100.0,1.0,1.5,2.0,7.89,0.0,0.59
240,296.0,101.0,1.0,2.5,3.0,7.68,0.0,0.6
241,317.0,103.0,2.0,2.5,2.0,8.15,0.0,0.65
242,324.0,115.0,3.0,3.5,3.0,8.76,1.0,0.7
243,325.0,114.0,3.0,3.5,3.0,9.04,1.0,0.76
244,314.0,107.0,2.0,2.5,4.0,8.56,0.0,0.63
245,328.0,110.0,4.0,4.0,2.5,9.02,1.0,0.81
246,316.0,105.0,3.0,3.0,3.5,8.73,0.0,0.72
247,311.0,104.0,2.0,2.5,3.5,8.48,0.0,0.71
248,324.0,110.0,3.0,3.5,4.0,8.87,1.0,0.8
249,321.0,111.0,3.0,3.5,4.0,8.83,1.0,0.77
250,320.0,104.0,3.0,3.0,2.5,8.57,1.0,0.74
251,316.0,99.0,2.0,2.5,3.0,9.0,0.0,0.7
252,318.0,100.0,2.0,2.5,3.5,8.54,1.0,0.71
253,335.0,115.0,4.0,4.5,4.5,9.68,1.0,0.93
254,321.0,114.0,4.0,4.0,5.0,9.12,0.0,0.85
255,307.0,110.0,4.0,4.0,4.5,8.37,0.0,0.79
256,309.0,99.0,3.0,4.0,4.0,8.56,0.0,0.76
257,324.0,100.0,3.0,4.0,5.0,8.64,1.0,0.78
258,326.0,102.0,4.0,5.0,5.0,8.76,1.0,0.77
259,331.0,119.0,4.0,5.0,4.5,9.34,1.0,0.9
260,327.0,108.0,5.0,5.0,3.5,9.13,1.0,0.87
261,312.0,104.0,3.0,3.5,4.0,8.09,0.0,0.71
262,308.0,103.0,2.0,2.5,4.0,8.36,1.0,0.7
263,324.0,111.0,3.0,2.5,1.5,8.79,1.0,0.7
264,325.0,110.0,2.0,3.0,2.5,8.76,1.0,0.75
265,313.0,102.0,3.0,2.5,2.5,8.68,0.0,0.71
266,312.0,105.0,2.0,2.0,2.5,8.45,0.0,0.72
267,314.0,107.0,3.0,3.0,3.5,8.17,1.0,0.73
268,327.0,113.0,4.0,4.5,5.0,9.14,0.0,0.83
269,308.0,108.0,4.0,4.5,5.0,8.34,0.0,0.77
270,306.0,105.0,2.0,2.5,3.0,8.22,1.0,0.72
271,299.0,96.0,2.0,1.5,2.0,7.86,0.0,0.54
272,294.0,95.0,1.0,1.5,1.5,7.64,0.0,0.49
273,312.0,99.0,1.0,1.0,1.5,8.01,1.0,0.52
274,315.0,100.0,1.0,2.0,2.5,7.95,0.0,0.58
275,322.0,110.0,3.0,3.5,3.0,8.96,1.0,0.78
276,329.0,113.0,5.0,5.0,4.5,9.45,1.0,0.89
277,320.0,101.0,2.0,2.5,3.0,8.62,0.0,0.7
278,308.0,103.0,2.0,3.0,3.5,8.49,0.0,0.66
279,304.0,102.0,2.0,3.0,4.0,8.73,0.0,0.67
280,311.0,102.0,3.0,4.5,4.0,8.64,1.0,0.68
281,317.0,110.0,3.0,4.0,4.5,9.11,1.0,0.8
282,312.0,106.0,3.0,4.0,3.5,8.79,1.0,0.81
283,321.0,111.0,3.0,2.5,3.0,8.9,1.0,0.8
284,340.0,112.0,4.0,5.0,4.5,9.66,1.0,0.94
285,331.0,116.0,5.0,4.0,4.0,9.26,1.0,0.93
286,336.0,118.0,5.0,4.5,4.0,9.19,1.0,0.92
287,324.0,114.0,5.0,5.0,4.5,9.08,1.0,0.89
288,314.0,104.0,4.0,5.0,5.0,9.02,0.0,0.82
289,313.0,109.0,3.0,4.0,3.5,9.0,0.0,0.79
290,307.0,105.0,2.0,2.5,3.0,7.65,0.0,0.58
291,300.0,102.0,2.0,1.5,2.0,7.87,0.0,0.56
292,302.0,99.0,2.0,1.0,2.0,7.97,0.0,0.56
293,312.0,98.0,1.0,3.5,3.0,8.18,1.0,0.64
294,316.0,101.0,2.0,2.5,2.0,8.32,1.0,0.61
295,317.0,100.0,2.0,3.0,2.5,8.57,0.0,0.68
296,310.0,107.0,3.0,3.5,3.5,8.67,0.0,0.76
297,320.0,120.0,3.0,4.0,4.5,9.11,0.0,0.86
298,330.0,114.0,3.0,4.5,4.5,9.24,1.0,0.9
299,305.0,112.0,3.0,3.0,3.5,8.65,0.0,0.71
300,309.0,106.0,2.0,2.5,2.5,8.0,0.0,0.62
301,319.0,108.0,2.0,2.5,3.0,8.76,0.0,0.66
302,322.0,105.0,2.0,3.0,3.0,8.45,1.0,0.65
303,323.0,107.0,3.0,3.5,3.5,8.55,1.0,0.73
304,313.0,106.0,2.0,2.5,2.0,8.43,0.0,0.62
305,321.0,109.0,3.0,3.5,3.5,8.8,1.0,0.74
306,323.0,110.0,3.0,4.0,3.5,9.1,1.0,0.79
307,325.0,112.0,4.0,4.0,4.0,9.0,1.0,0.8
308,312.0,108.0,3.0,3.5,3.0,8.53,0.0,0.69
309,308.0,110.0,4.0,3.5,3.0,8.6,0.0,0.7
310,320.0,104.0,3.0,3.0,3.5,8.74,1.0,0.76
311,328.0,108.0,4.0,4.5,4.0,9.18,1.0,0.84
312,311.0,107.0,4.0,4.5,4.5,9.0,1.0,0.78
313,301.0,100.0,3.0,3.5,3.0,8.04,0.0,0.67
314,305.0,105.0,2.0,3.0,4.0,8.13,0.0,0.66
315,308.0,104.0,2.0,2.5,3.0,8.07,0.0,0.65
316,298.0,101.0,2.0,1.5,2.0,7.86,0.0,0.54
317,300.0,99.0,1.0,1.0,2.5,8.01,0.0,0.58
318,324.0,111.0,3.0,2.5,2.0,8.8,1.0,0.79
319,327.0,113.0,4.0,3.5,3.0,8.69,1.0,0.8
320,317.0,106.0,3.0,4.0,3.5,8.5,1.0,0.75
321,323.0,104.0,3.0,4.0,4.0,8.44,1.0,0.73
322,314.0,107.0,2.0,2.5,4.0,8.27,0.0,0.72
323,305.0,102.0,2.0,2.0,2.5,8.18,0.0,0.62
324,315.0,104.0,3.0,3.0,2.5,8.33,0.0,0.67
325,326.0,116.0,3.0,3.5,4.0,9.14,1.0,0.81
326,299.0,100.0,3.0,2.0,2.0,8.02,0.0,0.63
327,295.0,101.0,2.0,2.5,2.0,7.86,0.0,0.69
328,324.0,112.0,4.0,4.0,3.5,8.77,1.0,0.8
329,297.0,96.0,2.0,2.5,1.5,7.89,0.0,0.43
330,327.0,113.0,3.0,3.5,3.0,8.66,1.0,0.8
331,311.0,105.0,2.0,3.0,2.0,8.12,1.0,0.73
332,308.0,106.0,3.0,3.5,2.5,8.21,1.0,0.75
333,319.0,108.0,3.0,3.0,3.5,8.54,1.0,0.71
334,312.0,107.0,4.0,4.5,4.0,8.65,1.0,0.73
335,325.0,111.0,4.0,4.0,4.5,9.11,1.0,0.83
336,319.0,110.0,3.0,3.0,2.5,8.79,0.0,0.72
337,332.0,118.0,5.0,5.0,5.0,9.47,1.0,0.94
338,323.0,108.0,5.0,4.0,4.0,8.74,1.0,0.81
339,324.0,107.0,5.0,3.5,4.0,8.66,1.0,0.81
340,312.0,107.0,3.0,3.0,3.0,8.46,1.0,0.75
341,326.0,110.0,3.0,3.5,3.5,8.76,1.0,0.79
342,308.0,106.0,3.0,3.0,3.0,8.24,0.0,0.58
343,305.0,103.0,2.0,2.5,3.5,8.13,0.0,0.59
344,295.0,96.0,2.0,1.5,2.0,7.34,0.0,0.47
345,316.0,98.0,1.0,1.5,2.0,7.43,0.0,0.49
346,304.0,97.0,2.0,1.5,2.0,7.64,0.0,0.47
347,299.0,94.0,1.0,1.0,1.0,7.34,0.0,0.42
348,302.0,99.0,1.0,2.0,2.0,7.25,0.0,0.57
349,313.0,101.0,3.0,2.5,3.0,8.04,0.0,0.62
350,318.0,107.0,3.0,3.0,3.5,8.27,1.0,0.74
351,325.0,110.0,4.0,3.5,4.0,8.67,1.0,0.73
352,303.0,100.0,2.0,3.0,3.5,8.06,1.0,0.64
353,300.0,102.0,3.0,3.5,2.5,8.17,0.0,0.63
354,297.0,98.0,2.0,2.5,3.0,7.67,0.0,0.59
355,317.0,106.0,2.0,2.0,3.5,8.12,0.0,0.73
356,327.0,109.0,3.0,3.5,4.0,8.77,1.0,0.79
357,301.0,104.0,2.0,3.5,3.5,7.89,1.0,0.68
358,314.0,105.0,2.0,2.5,2.0,7.64,0.0,0.7
359,321.0,107.0,2.0,2.0,1.5,8.44,0.0,0.81
360,322.0,110.0,3.0,4.0,5.0,8.64,1.0,0.85
361,334.0,116.0,4.0,4.0,3.5,9.54,1.0,0.93
362,338.0,115.0,5.0,4.5,5.0,9.23,1.0,0.91
363,306.0,103.0,2.0,2.5,3.0,8.36,0.0,0.69
364,313.0,102.0,3.0,3.5,4.0,8.9,1.0,0.77
365,330.0,114.0,4.0,4.5,3.0,9.17,1.0,0.86
366,320.0,104.0,3.0,3.5,4.5,8.34,1.0,0.74
367,311.0,98.0,1.0,1.0,2.5,7.46,0.0,0.57
368,298.0,92.0,1.0,2.0,2.0,7.88,0.0,0.51
369,301.0,98.0,1.0,2.0,3.0,8.03,1.0,0.67
370,310.0,103.0,2.0,2.5,2.5,8.24,0.0,0.72
371,324.0,110.0,3.0,3.5,3.0,9.22,1.0,0.89
372,336.0,119.0,4.0,4.5,4.0,9.62,1.0,0.95
373,321.0,109.0,3.0,3.0,3.0,8.54,1.0,0.79
374,315.0,105.0,2.0,2.0,2.5,7.65,0.0,0.39
375,304.0,101.0,2.0,2.0,2.5,7.66,0.0,0.38
376,297.0,96.0,2.0,2.5,2.0,7.43,0.0,0.34
377,290.0,100.0,1.0,1.5,2.0,7.56,0.0,0.47
378,303.0,98.0,1.0,2.0,2.5,7.65,0.0,0.56
379,311.0,99.0,1.0,2.5,3.0,8.43,1.0,0.71
380,322.0,104.0,3.0,3.5,4.0,8.84,1.0,0.78
381,319.0,105.0,3.0,3.0,3.5,8.67,1.0,0.73
382,324.0,110.0,4.0,4.5,4.0,9.15,1.0,0.82
383,300.0,100.0,3.0,3.0,3.5,8.26,0.0,0.62
384,340.0,113.0,4.0,5.0,5.0,9.74,1.0,0.96
385,335.0,117.0,5.0,5.0,5.0,9.82,1.0,0.96
386,302.0,101.0,2.0,2.5,3.5,7.96,0.0,0.46
387,307.0,105.0,2.0,2.0,3.5,8.1,0.0,0.53
388,296.0,97.0,2.0,1.5,2.0,7.8,0.0,0.49
389,320.0,108.0,3.0,3.5,4.0,8.44,1.0,0.76
390,314.0,102.0,2.0,2.0,2.5,8.24,0.0,0.64
391,318.0,106.0,3.0,2.0,3.0,8.65,0.0,0.71
392,326.0,112.0,4.0,4.0,3.5,9.12,1.0,0.84
393,317.0,104.0,2.0,3.0,3.0,8.76,0.0,0.77
394,329.0,111.0,4.0,4.5,4.0,9.23,1.0,0.89
395,324.0,110.0,3.0,3.5,3.5,9.04,1.0,0.82
396,325.0,107.0,3.0,3.0,3.5,9.11,1.0,0.84
397,330.0,116.0,4.0,5.0,4.5,9.45,1.0,0.91
398,312.0,103.0,3.0,3.5,4.0,8.78,0.0,0.67
399,333.0,117.0,4.0,5.0,4.0,9.66,1.0,0.95
400,304.0,100.0,2.0,3.5,3.0,8.22,0.0,0.63
401,315.0,105.0,2.0,3.0,3.0,8.34,0.0,0.66
402,324.0,109.0,3.0,3.5,3.0,8.94,1.0,0.78
403,330.0,116.0,4.0,4.0,3.5,9.23,1.0,0.91
404,311.0,101.0,3.0,2.0,2.5,7.64,1.0,0.62
405,302.0,99.0,3.0,2.5,3.0,7.45,0.0,0.52
406,322.0,103.0,4.0,3.0,2.5,8.02,1.0,0.61
407,298.0,100.0,3.0,2.5,4.0,7.95,1.0,0.58
408,297.0,101.0,3.0,2.0,4.0,7.67,1.0,0.57
